업종명,인허가일자,업소명,소재지(도로명),소재지(지번),업태명,데이터기준일
일반음식점,2020-03-24,착한맛집,"대전광역시 대덕구 중리로54번길 16, 1층 (중리동)",대전광역시 대덕구 중리동 386-1 ,한식,2024-05-20
일반음식점,2020-03-27,더홈케이터링,"대전광역시 대덕구 신탄진로36번길 213, 1층 (연축동)",대전광역시 대덕구 연축동 31-7 ,출장조리,2024-05-20
일반음식점,2020-04-02,속초메밀향막국수,"대전광역시 대덕구 대덕대로1448번길 121, 1층 (목상동)",대전광역시 대덕구 목상동 867-2 ,한식,2024-05-20
일반음식점,2020-04-10,수라간,"대전광역시 대덕구 석봉로37번길 46-13, 1층 (석봉동)",대전광역시 대덕구 석봉동 417-15 ,한식,2024-05-20
일반음식점,2020-04-10,감자(GAMJA)121(디저트앤카페),"대전광역시 대덕구 동서대로1809번길 23, 1층 (송촌동)",대전광역시 대덕구 송촌동 222-69 ,기타,2024-05-20
일반음식점,2020-04-13,굴세상신탄진점,대전광역시 대덕구 덕암로 259 (덕암동),대전광역시 대덕구 덕암동 12-3 ,한식,2024-05-20
일반음식점,2020-04-14,맛을아는형제들법동중리점,"대전광역시 대덕구 계족로 563-1, 1층 (중리동)",대전광역시 대덕구 중리동 179-8 ,식육(숯불구이),2024-05-20
일반음식점,2020-04-29,국가대표대전중리점,"대전광역시 대덕구 홍도로 139, 1층 102,103,104호 (중리동)",대전광역시 대덕구 중리동 237-5 ,식육(숯불구이),2024-05-20
일반음식점,2020-05-04,커피오늘,"대전광역시 대덕구 대덕대로1454번길 19-12, 1층 (목상동)",대전광역시 대덕구 목상동 151-4 ,기타,2024-05-20
일반음식점,2020-05-08,미정숯불갈비,"대전광역시 대덕구 선비마을로5번길 9, 1층 (송촌동)",대전광역시 대덕구 송촌동 503-6 ,식육(숯불구이),2024-05-20
일반음식점,2020-05-12,카페조에,"대전광역시 대덕구 동서대로1777번길 17, 1층 (송촌동)",대전광역시 대덕구 송촌동 294-8 ,기타,2024-05-20
일반음식점,2020-05-20,명륜진사갈비신탄진점,"대전광역시 대덕구 덕암로265번길 15, 1동 1층 (덕암동)",대전광역시 대덕구 덕암동 11-2 ,식육(숯불구이),2024-05-20
일반음식점,2020-05-22,앙구움,"대전광역시 대덕구 대덕대로1454번길 102, 1층 (목상동)",대전광역시 대덕구 목상동 866-4 ,기타,2024-05-20
일반음식점,2020-05-22,황후탕후루(송촌점),"대전광역시 대덕구 송촌북로16번길 46, 1층 (송촌동)",대전광역시 대덕구 송촌동 465-5 ,기타,2024-05-20
일반음식점,2020-05-26,영숙이네,"대전광역시 대덕구 덕암로 229, 1층 (덕암동)",대전광역시 대덕구 덕암동 43-2 ,호프/통닭,2024-05-20
일반음식점,2020-05-29,고기궁전,"대전광역시 대덕구 한남로38번길 15, 1층 (오정동)",대전광역시 대덕구 오정동 175-103 ,한식,2024-05-20
일반음식점,2020-06-08,호식이두마리치킨오정점,"대전광역시 대덕구 한밭대로972번길 97, 1층 (오정동)",대전광역시 대덕구 오정동 88-11 ,호프/통닭,2024-05-20
일반음식점,2020-06-09,육번가카페,"대전광역시 대덕구 비래서로10번길 24, 1층 (비래동)",대전광역시 대덕구 비래동 555-6 ,한식,2024-05-20
일반음식점,2020-06-11,작은엄마네소곱창,"대전광역시 대덕구 한밭대로1129번길 81, 1층 (중리동)",대전광역시 대덕구 중리동 393-6 ,한식,2024-05-20
일반음식점,2020-06-17,소신,"대전광역시 대덕구 신탄진동로7번길 10, 1층 (신탄진동)",대전광역시 대덕구 신탄진동 154-1 ,식육(숯불구이),2024-05-20
일반음식점,2020-06-18,비비큐석봉점,"대전광역시 대덕구 석봉로38번길 2, 1층 (석봉동)",대전광역시 대덕구 석봉동 183-2 ,호프/통닭,2024-05-20
일반음식점,2020-06-24,삼겹1번지,"대전광역시 대덕구 동춘당로23번길 66, 1층 (송촌동)",대전광역시 대덕구 송촌동 221-37 ,한식,2024-05-20
일반음식점,2020-06-29,단밤,"대전광역시 대덕구 중리남로 25, 1층 (중리동)",대전광역시 대덕구 중리동 196-1 ,기타,2024-05-20
일반음식점,2020-07-01,건강한 한끼,"대전광역시 대덕구 중리서로 4, 1층 (중리동)",대전광역시 대덕구 중리동 438-9 ,기타,2024-05-20
일반음식점,2020-07-02,비에이치씨중리점,"대전광역시 대덕구 중리서로 76, 1층 (중리동)",대전광역시 대덕구 중리동 365-29 ,호프/통닭,2024-05-20
일반음식점,2020-07-07,키오,"대전광역시 대덕구 송촌북로4번길 21-5, 1층 (송촌동)",대전광역시 대덕구 송촌동 470-6 ,기타,2024-05-20
일반음식점,2020-07-13,푸드트럭띵하오,"대전광역시 대덕구 한남로150번길 22, 1층 101호 (오정동)",대전광역시 대덕구 오정동 315-15 ,중국식,2024-05-20
일반음식점,2020-07-16,우린포차2,"대전광역시 대덕구 한남로12번길 7, 2층 (오정동)",대전광역시 대덕구 오정동 221-4 ,기타,2024-05-20
일반음식점,2020-07-16,홍차이,"대전광역시 대덕구 홍도로135번길 32, 1층 (중리동)",대전광역시 대덕구 중리동 236-7 ,중국식,2024-05-20
일반음식점,2020-07-20,착한감자탕,"대전광역시 대덕구 덕암로 232, 1층 (덕암동)",대전광역시 대덕구 덕암동 52-23 ,한식,2024-05-20
일반음식점,2020-07-29,먹거리촌,"대전광역시 대덕구 대덕대로1605번길 13, 1층 (석봉동)",대전광역시 대덕구 석봉동 201-29 ,한식,2024-05-20
일반음식점,2020-07-29,바다양푼이동태탕,"대전광역시 대덕구 송촌로93번길 1, 1층 (송촌동)",대전광역시 대덕구 송촌동 482-10 ,한식,2024-05-20
일반음식점,2020-07-29,비비큐대전덕암점,"대전광역시 대덕구 덕암로 226, 1층 (덕암동)",대전광역시 대덕구 덕암동 52-21 ,호프/통닭,2024-05-20
일반음식점,2020-07-30,남경커피,"대전광역시 대덕구 신탄진로738번길 11, 1,2층 (신탄진동)",대전광역시 대덕구 신탄진동 295-192 ,기타,2024-05-20
일반음식점,2020-07-30,굿샷식당,"대전광역시 대덕구 선비마을로5번길 10, 1층 (송촌동)",대전광역시 대덕구 송촌동 506-6 ,분식,2024-05-20
일반음식점,2020-07-31,몽이의주방,"대전광역시 대덕구 덕암북로 15, 2층 (석봉동)",대전광역시 대덕구 석봉동 309-47 ,한식,2024-05-20
일반음식점,2020-07-31,엄마의식당,"대전광역시 대덕구 덕암북로 15, 2층 (석봉동)",대전광역시 대덕구 석봉동 309-47 ,한식,2024-05-20
일반음식점,2020-07-31,역전할머니맥주대전중리점,"대전광역시 대덕구 중리남로 37, 1층 (중리동)",대전광역시 대덕구 중리동 197-2 ,호프/통닭,2024-05-20
일반음식점,2020-08-04,본죽앤비빔밥카페대전송촌점,"대전광역시 대덕구 동춘당로126번길 2, 아이프라자 1층 102호 (송촌동)",대전광역시 대덕구 송촌동 445-1 아이프라자 ,한식,2024-05-20
일반음식점,2020-08-14,수피아,"대전광역시 대덕구 석봉로37번길 56, 1층 (석봉동)",대전광역시 대덕구 석봉동 413-6 ,한식,2024-05-20
일반음식점,2020-08-20,보우보우,"대전광역시 대덕구 덕암로181번길 19, 1층 (덕암동)",대전광역시 대덕구 덕암동 62-29 ,기타,2024-05-20
일반음식점,2020-08-28,올웨이즈 삼삼,"대전광역시 대덕구 대청호수로 1875, 1층 (삼정동)",대전광역시 대덕구 삼정동 234-1 ,기타,2024-05-20
일반음식점,2020-08-31,가마치통닭신탄진점,"대전광역시 대덕구 신탄진동로23번길 72, 1층 (신탄진동)",대전광역시 대덕구 신탄진동 123-9 ,호프/통닭,2024-05-20
일반음식점,2020-09-07,루나커피,"대전광역시 대덕구 장동로 231, 2층 (장동)",대전광역시 대덕구 장동 347-5 ,기타,2024-05-20
일반음식점,2020-09-17,성채숯불구이,"대전광역시 대덕구 대청로 8, 1층 (신탄진동)",대전광역시 대덕구 신탄진동 121-1 ,식육(숯불구이),2024-05-20
일반음식점,2020-09-18,지니테이블,"대전광역시 대덕구 홍도로 115, 1층 (중리동)",대전광역시 대덕구 중리동 241-21 ,기타,2024-05-20
일반음식점,2020-09-22,김천닭갈비,"대전광역시 대덕구 덕암로 250-1, 1층 (덕암동)",대전광역시 대덕구 덕암동 17-19 ,한식,2024-05-20
일반음식점,2020-09-23,세계맥주전문점,"대전광역시 대덕구 중리로 63, 2층 (중리동)",대전광역시 대덕구 중리동 376-5 ,기타,2024-05-20
일반음식점,2020-10-05,냠냠숯불두마리치킨 대전 석봉점,"대전광역시 대덕구 석봉북로 20, 1층 (석봉동)",대전광역시 대덕구 석봉동 191-27 ,호프/통닭,2024-05-20
일반음식점,2020-10-16,미식가동태탕전문점,"대전광역시 대덕구 계족산로17번길 15, 1층 (중리동)",대전광역시 대덕구 중리동 111-4 ,한식,2024-05-20
일반음식점,2020-10-19,오늘닭강정,"대전광역시 대덕구 송촌북로36번길 11, 1층 (송촌동)",대전광역시 대덕구 송촌동 449-6 ,기타,2024-05-20
일반음식점,2020-10-20,피씨피,"대전광역시 대덕구 비래서로10번길 4, 1층 (비래동)",대전광역시 대덕구 비래동 103-2 ,호프/통닭,2024-05-20
일반음식점,2020-10-20,호식이두마리치킨중리점,"대전광역시 대덕구 계족산로9번길 31, 1층 (중리동)",대전광역시 대덕구 중리동 106-7 ,호프/통닭,2024-05-20
일반음식점,2020-10-21,마스마스,"대전광역시 대덕구 덕암로 243, 1층 (덕암동)",대전광역시 대덕구 덕암동 44-3 ,기타,2024-05-20
