r_name,address,소재지지번주소,classification,영업장면적
김대감봉평메밀촌,"서울특별시 서초구 방배중앙로 161, 2층 (방배동)",서울특별시 서초구 방배동  778번지 11호  2층,한식,131.04
일품헌,"서울특별시 서초구 남부순환로 2634-27, 가동 1층,2층 (양재동, 성원빌딩)","서울특별시 서초구 양재동  1번지 28호  성원빌딩 가동 1층,2층",중국식,662.5
장수원,"서울특별시 서초구 방배중앙로 153, 지하1층,1층,2층 (방배동)","서울특별시 서초구 방배동  778번지 27호  지하1층,1층,2층",한식,764.69
델리세,"서울특별시 서초구 동광로 106, (방배동)",서울특별시 서초구 방배동  807번지 9호  ,까페,231.11
원당감자탕,"서울특별시 서초구 방배천로4길 9, 2층 3층 (방배동)",서울특별시 서초구 방배동  451번지 8호  2층 3층,한식,235.24
우대포 양재점,"서울특별시 서초구 강남대로47길 20, (서초동)",서울특별시 서초구 서초동  1340번지 14호  ,한식,75.9
여진족,"서울특별시 서초구 방배천로4안길 12, 1층, 지하1층 (방배동)","서울특별시 서초구 방배동  451번지 5호  1층, 지하1층",한식,265.6
임금님밥상,"서울특별시 서초구 동광로11길 97, A동 1층 (방배동)",서울특별시 서초구 방배동  762번지 16호  A동 1층,한식,86.4
신의주찹쌀순대&숯불갈비,"서울특별시 서초구 방배천로6길 3-12, (방배동,(1층))",서울특별시 서초구 방배동  453번지 23호  (1층),한식,61.71
두껍삼 강남직영점,"서울특별시 서초구 서초대로78길 44, 1층 (서초동)",서울특별시 서초구 서초동  1330번지 16호  1층 (101호?),한식,435.4
빛고을으뜸추어탕,"서울특별시 서초구 서초중앙로26길 13, 1층 (서초동)",서울특별시 서초구 서초동  1697번지 15호  1층,한식,251.19
울돌목 가는길,"서울특별시 서초구 서초대로40길 41, 지하1층 (서초동)",서울특별시 서초구 서초동  1540번지 1호  ,한식,638.95
육갑식당,"서울특별시 서초구 서래로 33, 2층 (반포동)",서울특별시 서초구 반포동  95번지 7호  2층,한식,114.88
어랑 생선밥상,"서울특별시 서초구 사평대로55길 21-2, 1층 (반포동)",서울특별시 서초구 반포동  739번지 19호  1층,한식,87.23
오동도 산아나고 숯불구이,"서울특별시 서초구 서초대로 3-4, 103호, 103-1호 (방배동, 방배디오슈페리움1)","서울특별시 서초구 방배동  3001번지 2호  103호, 103-1호",한식,65.84
포메인서초점,"서울특별시 서초구 반포대로 104, 1층 (서초동)",서울특별시 서초구 서초동  1543번지 8호  1층 102호?,한식,78.5
됐소 강남,"서울특별시 서초구 서초대로78길 46, 2층, 3층 (서초동)",서울특별시 서초구 서초동  1330번지 15호  ,한식,637.2
도쿄하나 사당점,"서울특별시 서초구 방배천로 11, 3층 301호내 2호 (방배동, SK리더스뷰)",서울특별시 서초구 방배동  444번지 3호  ,일식,549.89
춘향골 추어탕,"서울특별시 서초구 서운로11길 10, 1층 (서초동)",서울특별시 서초구 서초동  1342번지 7호  1층,한식,277.28
da Pitta(다 피타),"서울특별시 서초구 효령로 202, 1층 (서초동)",서울특별시 서초구 서초동  1487번지 3호  1층,경양식,78.54
삼육가 사당역1호점,"서울특별시 서초구 방배천로 10, 1층 (방배동)",서울특별시 서초구 방배동  450번지 16호  1층,한식,278.46
영주축협 한우프라자 청계산역점,"서울특별시 서초구 청계산로 197, 4층, 5층 (신원동)","서울특별시 서초구 신원동  270번지 10호  4층, 5층",한식,1350.62
다피타(da pitta),"서울특별시 서초구 반포대로23길 32, 1층 101호 (서초동)",서울특별시 서초구 서초동  1503번지 16호  ,경양식,102.5
서울집,"서울특별시 서초구 서운로 220, 1층 5호,6호 (서초동, 대지프라자)","서울특별시 서초구 서초동  1302번지 2호  1층 5호, 6호 대지프라자",한식,82.5
우밀가 교대점,"서울특별시 서초구 법원로2길 15, 1층 104호 (서초동, 길도 BD )",서울특별시 서초구 서초동  1713번지 4호  길도 BD 1층-104,한식,287.26
리향,"서울특별시 서초구 반포대로28길 15, 2층 (서초동)",서울특별시 서초구 서초동  1552번지 7호  2층,중국식,212.21
경성회관,"서울특별시 서초구 서초대로55길 3, 1층 (서초동, 애니빌딩)",서울특별시 서초구 서초동  1696번지 13호  애니빌딩1층,한식,190.74
묘오또,"서울특별시 서초구 방배로28길 16, (방배동,1층)",서울특별시 서초구 방배동  850번지 1호  1층(104호?),한식,99
서울만남의광장휴게소 한식당,"서울특별시 서초구 양재대로12길 73-71, (원지동, 서울만남의광장휴게소 한식당)",서울특별시 서초구 원지동  10번지 16호  서울만남의광장휴게소 한식당,한식,91.24
리차이,"서울특별시 서초구 서초대로25길 17, (방배동,1층)",서울특별시 서초구 방배동  875번지 15호  1층,중국식,113.22
방배본가면옥,"서울특별시 서초구 방배로 41, 방배홈스텔 1층 102호 (방배동)",서울특별시 서초구 방배동  1031번지 2호  방배홈스텔 1층 102호,한식,160.5
만다린,"서울특별시 서초구 강남대로51길 5, 3층 (서초동)",서울특별시 서초구 서초동  1338번지 10호  3층전체,중국식,136.82
맷돌로만청계산점,"서울특별시 서초구 청룡마을3길 11, (신원동)",서울특별시 서초구 신원동  192번지 12호  ,한식,106
원조서초갈비,"서울특별시 서초구 반포대로 12, 2층 (서초동)",서울특별시 서초구 서초동  1451번지 77호  2층,한식,187.21
홍천한우,"서울특별시 서초구 효령로55길 47, (서초동,2층일부,3층일부)","서울특별시 서초구 서초동  1595번지 8호  2층일부,3층일부",한식,272.46
효소원 순두부와 청국장 그리고 전,"서울특별시 서초구 효령로34길 12, 1층 (방배동)",서울특별시 서초구 방배동  983번지 8호  1층,한식,190.8
정선콩국수 소소정,"서울특별시 서초구 동광로 68, 1층 (방배동)",서울특별시 서초구 방배동  813번지 8호  1층,한식,74.38
임광루,"서울특별시 서초구 방배로 28, 1층 9호, 1층 10호 (방배동)","서울특별시 서초구 방배동  1024번지 4호  1층 9호, 1층 10호",중국식,120.48
장꼬방,"서울특별시 서초구 강남대로61길 27, 1층 (서초동)",서울특별시 서초구 서초동  1316번지  1층,한식,115.5
국수명가,"서울특별시 서초구 효령로53길 14, (서초동)",서울특별시 서초구 서초동  1588번지 13호  ,분식,55
